,Seed,KS_FR_pval,KS_CV_pval,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
154,155,0.03311048092208449,0.0015177261800831884,0.013707839636685733,0.0013427725157093796,0.2952380952380952,0.3825396825396826,0.3388888888888889,0.91,18.566666666666666,0.22892364918641045,-0.18671997218842343,0.27480136020387175,13.276378354891149,0.17433685026571327
155,156,0.0048471320725963106,1.66160872978736e-07,0.0026835830065678815,1.0810301504075861e-05,0.3529213103681188,0.48514015535292127,0.41903073286052006,0.95,17.856382978723403,0.25265077097913585,-0.21783269413552972,0.40692998580715795,11.681186533569726,0.20075448936249365
156,157,0.00021061785490549754,5.799500650511476e-14,7.441657780940514e-05,1.2348844153062534e-13,0.46927803379416283,0.8420378904249871,0.6556579621095749,0.95,16.365591397849464,0.2983896964134838,-0.2831341852497714,0.6616351880228124,10.188581998731337,0.1794300174116088
157,158,4.608169508114656e-05,0.001743770355110657,0.009218416003060918,0.009765717632897805,0.5110087045570916,0.3904249871991807,0.4507168458781361,0.95,18.27956989247312,0.21681914440103228,-0.19929573910946877,0.20739530923519628,14.466398286543198,0.15623342484448988
158,159,0.007624482998245392,0.0004419100757791233,0.015784632710595402,0.17351588059862483,0.38992408557625946,0.38060731538992404,0.3852657004830917,0.94,18.72826086956522,0.19847977597708027,-0.179641623651932,0.10526933013595255,12.767871754890804,0.14416466054286545
159,160,0.03490826871991832,0.000455414664208249,0.011122524909744719,0.0003253851615352345,0.3145896656534954,0.42131036811887873,0.36795001688618706,0.96,18.569148936170212,0.23355511696210943,-0.1866112407587531,0.30059249817142053,12.516499974678059,0.16913508228759774
160,161,0.0026364510066005545,6.788559554907042e-08,0.007792271626245161,3.518945774810892e-07,0.35182457862870237,0.5926198658157421,0.4722222222222222,0.99,18.371134020618555,0.25496163131552935,-0.19528493426110272,0.4197984155676708,13.065512633015278,0.16384271002026685
161,162,7.597929044437771e-05,2.4823351701289076e-05,0.01769724226305092,0.39026021133990596,0.6274299982165151,0.10834670947030496,0.36788835384341007,0.91,18.573033707865168,0.16750622725712452,-0.18644107519867506,-0.06721229060908504,15.075195521455095,0.14506885705180902
162,163,0.0028918569193396807,3.2392205654061385e-07,0.002734438098299144,2.1749628763070346e-06,0.4848024316109422,0.5489699425869639,0.5168861870989531,0.97,17.81382978723404,0.24974258031342592,-0.2196966615013074,0.3907352176844449,12.278675521682798,0.162369309899639
163,164,0.19275470518053697,4.957294785014755e-06,0.05148600763747325,0.08092258272219335,0.34603174603174613,0.23968253968253964,0.29285714285714287,0.9,19.516666666666666,0.20694903817083293,-0.14510690074743615,0.1524318972315326,12.433478551430765,0.18247743220172014
