,Sim,vivo_tonic_scale,vivo_noise_scale,current_noise_scale,gstn_mu,gstn_pct,KS_FR_pval,KS_CV_pval,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
875,876,2.0,10,40,0.03,0.1,0.051963049234895614,6.620903568094046e-05,0.670296262531958,8.405677451524762e-07,0.3039840637450199,0.39856573705179277,0.35127490039840636,1.0,25.245,0.5778896075139422,0.028484823892225387,-0.17550558717226517,13.211830872365875,0.2040087791945745
876,877,2.0,10,40,0.03,0.2,0.2347990723970687,0.0002891080900202585,0.8804873459293887,5.6680245209341e-07,0.2261354581673307,0.43856573705179275,0.3323505976095617,1.0,24.79,0.5763580155798639,0.009948060379808494,-0.17769076056171595,12.042877563107583,0.19893814646333943
877,878,2.0,10,40,0.03,0.30000000000000004,0.0046687375527317285,5.413024549414039e-06,0.052737771338146125,1.7749549481967797e-11,0.3039840637450199,0.5185657370517928,0.4112749003984063,1.0,27.79,0.5243037892592073,0.1321684791429963,-0.2519582646099114,14.976845462246047,0.26106770917396666
878,879,2.0,10,40,0.03,0.4,0.5684685700680773,3.2232105168278057e-05,0.6607243782859824,9.89917841553281e-10,0.20366533864541833,0.41856573705179273,0.3111155378486055,1.0,25.28,0.5445310461572471,0.029910728777795915,-0.22309936131346694,15.00021999838669,0.23094791139765428
879,880,2.0,10,40,0.03,0.5,0.608226882648807,7.73281490768963e-05,0.4456249571825792,1.2280332141737174e-07,0.18756972111553794,0.3585657370517928,0.2730677290836654,1.0,25.835,0.5668325520775275,0.05252150624898565,-0.19128105762737377,15.935817362156232,0.2232830369989951
880,881,2.0,10,40,0.049999999999999996,0.1,0.02388909510864668,0.00016285148431157117,0.00734274954600128,8.193174247405146e-08,0.25570445490764215,0.44947482796088367,0.3525896414342629,1.0,29.171717171717173,0.5627403568480353,0.18845982958951646,-0.19711952929920645,17.149839003891614,0.23943694983300157
881,882,2.0,10,40,0.049999999999999996,0.2,0.00022614408874154664,4.075487001391286e-09,0.0012281495745399133,8.765179160585991e-12,0.41625498007968137,0.6185657370517927,0.517410358565737,1.0,30.03,0.5241635873456477,0.22342639181950993,-0.25215829536473827,15.909402880058071,0.24174287211320483
882,883,2.0,10,40,0.049999999999999996,0.30000000000000004,0.00030388306124866165,2.7923091051313756e-08,0.00011849880410903949,8.740616146500924e-15,0.4436946093178307,0.6330595983413285,0.5383771038295796,0.98,31.448979591836736,0.4924429306007779,0.2812358184630776,-0.297415216266782,19.761006981374987,0.2719068934076284
883,884,2.0,10,40,0.049999999999999996,0.4,0.00972011514910923,1.6616928707201542e-07,0.007818828076371695,2.377930795932655e-08,0.46410277258313687,0.5880152857955931,0.526059029189365,0.99,29.25,0.5544861126903708,0.19164908294108107,-0.20889613524889222,18.894477381240375,0.25645672927294766
884,885,2.0,10,40,0.049999999999999996,0.5,0.0006016976491283638,8.092315865735725e-08,0.00027477209145302333,3.2888572170346863e-12,0.38742987234734527,0.5626473697048541,0.47503862102609967,0.98,30.903061224489797,0.5183059768139051,0.25899502797385804,-0.26051554403844135,17.668959603950864,0.2460872284654024
885,886,2.0,10,80,0.01,0.1,0.019909077775871958,0.1337028995451252,0.016664775891353668,0.06164249656941863,0.32685584193836886,0.31205789088543784,0.31945686641190335,0.99,20.683673469387756,0.7492838196612307,-0.15734425567013033,0.0690282623191214,9.865004048299708,0.2545250645177476
886,887,2.0,10,80,0.01,0.2,0.04927857371330877,0.4123198317330813,0.009118593179266384,0.8126010607181946,0.30286852589641433,0.21505976095617524,0.2589641434262948,1.0,20.32,0.7069962744141801,-0.1721603635773413,0.008695208505634959,11.487497551686355,0.2578025784168169
887,888,2.0,10,80,0.01,0.30000000000000004,0.04202675805122135,0.010781332438452085,0.011417215956841122,0.12997621234225634,0.20974687110145268,0.36516560022536115,0.28745623566340694,0.99,20.464646464646464,0.7403577566512897,-0.16626744641677282,0.05629314996452323,10.432624752115217,0.26873436103976056
888,889,2.0,10,80,0.01,0.4,0.02472201469223428,0.0911633674025298,0.006418966410726511,0.25479670838655216,0.37458247816813545,0.22552215380900642,0.30005231598857096,1.0,20.136363636363637,0.7304508856829797,-0.17964173466526975,0.04215868612269023,10.719994106600357,0.2639375823335186
889,890,2.0,10,80,0.01,0.5,0.011132513676439401,0.4702366222489631,0.00884893301936094,0.3172092368738322,0.2937743973600547,0.2613384844460541,0.2775564409030544,1.0,20.328282828282827,0.7262739369597844,-0.17182291999691773,0.03619929380941113,10.234414516017257,0.23419445023093455
