,Sim,kcc2_S_change,kcc2_D_change,trpc3_change,tonic_CL_S_change,tonic_CL_D_change,stn_change,noise_change,KS_FR_pval,KS_FR_statistic,KS_CV_pval,KS_CV_statistic,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
61,62,0.33,0.33,0.33,1.0,0.33,1.5,1.5,7.72927315872107e-07,0.30023426282777904,0.21235014234859467,0.11635053779692184,0.001365800371256836,0.015568356956881453,0.6221315398372754,0.32106602181415145,0.47159878082571344,0.99,29.69191919191919,0.725699300977611,0.26040963276976614,-0.08006519832053229,13.373558087235498,0.2485632658661384
62,63,0.33,0.33,0.33,1.0,0.33,1.5,2.0,7.364507283713415e-09,0.3437366180508325,0.3107265548604951,0.10577092621980402,0.0001285864047056237,0.7461726995499197,0.6221315398372754,0.32726265145217753,0.4746970956447265,0.99,30.934343434343436,0.7802312466364865,0.31315002563613176,-0.010937620896503908,13.72413020272858,0.27352353611195956
63,64,0.33,0.33,0.33,1.0,0.66,1.0,1.0,0.005615624923359692,0.18950099498727926,0.14423257647362916,0.12617446283281694,0.8164122625431243,0.0021756475220782332,0.4807677775258823,0.345550265749767,0.41315902163782464,0.99,23.994949494949495,0.7089579881366038,0.01857563621179779,-0.10128737159188429,12.108410748567918,0.24478879790497907
64,65,0.33,0.33,0.33,1.0,0.66,1.0,1.5,0.000765138408588667,0.21942618201969824,0.45087267671697057,0.09408297438222625,0.2522864534902564,0.7438649555983212,0.4844454520264994,0.3747197662409632,0.4295826091337313,0.99,25.72222222222222,0.7801957356352872,0.09189764580650095,-0.010982636519092582,12.413381143965763,0.2680350763612026
65,66,0.33,0.33,0.33,1.0,0.66,1.0,2.0,0.0019997000104810146,0.2041147132169576,0.01925095431516557,0.16815461346633417,0.08891641291046634,0.5235759660251835,0.411920199501247,0.38603491271820445,0.39897755610972574,1.0,26.79,0.8063441795963926,0.13722436881384642,0.02216451351561344,13.361171355835538,0.30516949302271723
66,67,0.33,0.33,0.33,1.0,0.66,1.25,1.0,0.00016810120453653954,0.23962820222171843,0.07279635361122251,0.1419179324416232,0.1237686837066166,4.992693157597052e-05,0.444041411622459,0.26045996120809084,0.3522506864152749,0.99,26.484848484848484,0.6820527702358199,0.12427081378544887,-0.1353938482832049,13.007273517958426,0.2519414754267812
67,68,0.33,0.33,0.33,1.0,0.66,1.25,1.5,7.805225470701635e-05,0.24922542129524672,0.3336101428872886,0.10362981435300637,0.023004611453485584,0.14491982442000534,0.48071739842313405,0.253507645028842,0.367112521725988,0.99,27.893939393939394,0.7504696753711577,0.18408613740218047,-0.04866496212827426,13.172758990836748,0.25977638843331663
68,69,0.33,0.33,0.33,1.0,0.66,1.25,2.0,4.63556674311664e-05,0.2555731882415174,0.07196666220470413,0.1421950175067382,0.002725961004793999,0.5070866766448445,0.5817274994332351,0.3636867427391118,0.4727071210861734,0.99,29.31313131313131,0.8067384391709146,0.24433024470075226,0.022664297796801982,13.693725219855198,0.28466547733576947
69,70,0.33,0.33,0.33,1.0,0.66,1.5,1.0,3.216750032266826e-05,0.25983022242373865,0.008427820330566306,0.18277538477039723,0.011417985425874686,3.3660726797261715e-06,0.46051537822111394,0.26474218494168617,0.36262878158140005,0.99,28.42929292929293,0.6672382519792185,0.20681167253972008,-0.15417351486963296,14.129989974227447,0.24237176380754114
70,71,0.33,0.33,0.33,1.0,0.66,1.5,1.5,2.826902952046351e-06,0.2868838005995113,0.21235014234859467,0.11635053779692184,0.0011706874304598823,0.014398705670955596,0.6019295196352552,0.23330562482682185,0.4176175722310385,0.99,29.803030303030305,0.7246355244712588,0.2651262532700103,-0.08141369766190429,13.814027817933379,0.2539822674191292
71,72,0.33,0.33,0.33,1.0,0.66,1.5,2.0,1.2225133003736218e-07,0.3182951711630016,0.21335071136094222,0.11624977959142548,7.000940531983103e-05,0.6784807181978152,0.6221315398372754,0.3272626514521776,0.4746970956447265,0.99,31.242424242424242,0.7777661115222619,0.3262279279322629,-0.014062556499118186,14.002410260842511,0.27754882070388975
72,73,0.33,0.33,0.33,1.0,1.0,1.0,1.0,0.005750907791240781,0.18912315171666794,0.3053820158821131,0.10624952769591174,0.7366946843110448,0.004738463308394443,0.4403637371218419,0.345550265749767,0.3929570014358045,0.99,24.19191919191919,0.7141457339457727,0.026936918007684933,-0.09471111072778773,12.25357236525911,0.2614068467553038
73,74,0.33,0.33,0.33,1.0,1.0,1.0,1.5,0.000765138408588667,0.21942618201969824,0.39051954091472807,0.098768230937807,0.23790546093835624,0.5681107445401856,0.4807677775258823,0.3343157258369228,0.40754175168140255,0.99,25.78787878787879,0.7735730789473508,0.09468473973846343,-0.019377866276928484,12.33990220421337,0.2781651039982275
74,75,0.33,0.33,0.33,1.0,1.0,1.0,2.0,0.0004676407117300845,0.22625255044207662,0.008545376494811402,0.1825990579107786,0.0547195649351553,0.25130756460227643,0.4555278470490441,0.3650469785133127,0.4102874127811784,0.99,27.22222222222222,0.8200713139591325,0.15557202255979583,0.03956575478813894,13.261401083524019,0.293782738288964
